ID,TestCaseName,ClientChannel,ShouldTokenizePayments,Fname,EmailId,CCType,CCNumber,ExpMonth,ExpYear,CCAmount,CVV,SVSNumber,SVSPin,SVSAmount,SVSPurchaseAmount,DiscountCode,FulfillmentChannel,BillingLine1,BillingLine2,BillingCity,BillingState,BillingZip,BillingCountry,ShippingLine1,ShippingLine2,ShippingCity,ShippingState,ShippingZip,ShippingCountry,Result,SKUS,SqlQuery,Databases,DB_ENV,Endpoints,SVC_ENV
TFS46811,PaymentService-CheckFraud-Virtual GC and Physical Product Purchase  using Valid CC,GS_US,TRUE,Review,Accept@GameStop.com,Visa,4111111111111111,12,2020,10,343,,,,50,,ShipToAddress,625 westport pkwy,,Irving,TX,76051,US,625 westport pkwy,,Irving,TX,76051,US,Review,"800874,339901",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46812,PaymentService-CheckFraud-Virtual GC and DLC purchase  using Valid CC,GS_US,TRUE,Review,Accept@GameStop.com,Visa,4111111111111111,12,2020,10,343,,,,50,,Digital,625 westport pkwy,,Irving,TX,76051,US,625 westport pkwy,,Irving,TX,76051,US,Review,"339901,600066",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46814,PaymentService-CheckFraud-Physical GC and Physical Product purchase  using Valid CC,GS_US,TRUE,Review,Accept@GameStop.com,Visa,4111111111111111,12,2020,10,343,,,,50,,ShipToAddress,625 westport pkwy,,Irving,TX,76051,US,625 westport pkwy,,Irving,TX,76051,US,Review,"800874,339992",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46815,PaymentService-CheckFraud-Physical GC and DLC purchase  using Valid CC,GS_US,TRUE,Review,Accept@GameStop.com,Visa,4111111111111111,12,2020,10,343,,,,50,,ShipToAddress,625 westport pkwy,,Irving,TX,76051,US,625 westport pkwy,,Irving,TX,76051,US,Review,"339992,600066",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46816,PaymentService-CheckFraud-Physical Product Purchase as Employee Order using Valid CC,GS_US,TRUE,Review,Accept@GameStop.com,Visa,4111111111111111,12,2020,10,343,,,,,EMP0000,ShipToAddress,625 westport pkwy,,Irving,TX,76051,US,625 westport pkwy,,Irving,TX,76051,US,Review,"800874",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46817,PaymentService-CheckFraud-Physical Order purchase as International Order using Valid CC,GS_US,TRUE,Review,Accept@GameStop.com,Visa,4111111111111111,12,2020,10,343,,,,,,ShipToAddress,38 Albany Hwy,,Albany,WA,6330,AU,38 Albany Hwy,,Albany,WA,6330,AU,Review,"800874",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46818,PaymentService-CheckFraud-Virtual GC(value GT $200) purchase for High Dollar Review using Valid CC,GS_US,TRUE,Review,Accept@GameStop.com,Visa,4111111111111111,12,2020,10,343,,,,220,,Digital,625 westport pkwy,,Irving,TX,76051,US,625 westport pkwy,,Irving,TX,76051,US,Review,"339901",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46819,PaymentService-CheckFraud-Physical GC(value GT $200) purchase for High Dollar Review using Valid CC,GS_US,TRUE,Review,Accept@GameStop.com,Visa,4111111111111111,12,2020,10,343,,,,220,,ShipToAddress,625 westport pkwy,,Irving,TX,76051,US,625 westport pkwy,,Irving,TX,76051,US,Review,"339992",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46820,PaymentService-CheckFraud-Physical Product Purchase for BillShip Mismatch review Using Valid CC,GS_US,TRUE,Review,Accept@GameStop.com,Visa,4111111111111111,12,2020,10,343,,,,,,ShipToAddress,625 westport pkwy,,Irving,TX,76051,US,5615 High Point Dr,,Irving,TX,75038,US,Review,"800874",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46821,PaymentService-CheckFraud-Multiple Physical Products Purchase (value GT $200) for High Dollar Review using Valid CC,GS_US,TRUE,Review,Accept@GameStop.com,Visa,4111111111111111,12,2020,10,343,,,,,,ShipToAddress,625 westport pkwy,,Irving,TX,76051,US,625 westport pkwy,,Irving,TX,76051,US,Review,"800874,909115",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46822,PaymentService-CheckFraud-Idevice purchase (value GT $200) for Idevice review using Valid CC,GS_US,TRUE,Review,Accept@GameStop.com,Visa,4111111111111111,12,2020,10,343,,,,,,ShipToAddress,625 westport pkwy,,Irving,TX,76051,US,625 westport pkwy,,Irving,TX,76051,US,Review,"908263",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46823,PaymentService-CheckFraud-Tablets purchase (value GT $200) for Tablet review using Valid CC,GS_US,TRUE,Review,Accept@GameStop.com,Visa,4111111111111111,12,2020,10,343,,,,,,ShipToAddress,625 westport pkwy,,Irving,TX,76051,US,625 westport pkwy,,Irving,TX,76051,US,Review,"908491",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46824,PaymentService-CheckFraud-Hold Request with CC card,GS_US,TRUE,Review,Accept@GameStop.com,Visa,4111111111111111,12,2020,10,343,,,,,,InStorePickUp,625 westport pkwy,,Irving,TX,76051,US,625 westport pkwy,,Irving,TX,76051,US,Review,"270622",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46825,PaymentService-CheckFraud-Physical Product Purchase using Valid GC(full payment),GS_US,TRUE,Review,Accept@GameStop.com,,,,,,,6364911003999900216,435,10,,,ShipToAddress,625 westport pkwy,,Irving,TX,76051,US,626 westport pkwy,,Irving,TX,76051,US,Review,"800874",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46826,PaymentService-CheckFraud-Physical Product Purchase using Valid GC(Partial payment) and valid CC,GS_US,TRUE,Review,Accept@GameStop.com,Visa,4111111111111111,12,2020,10,343,6364911003999900216,435,10,,,ShipToAddress,625 westport pkwy,,Irving,TX,76051,US,625 westport pkwy,,Irving,TX,76051,US,Review,"800874",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46827,PaymentService-CheckFraud-GC  Purchase using Valid GC(full payment),GS_US,TRUE,Review,Accept@GameStop.com,,,,,,,6364911003999900216,435,10,,,ShipToAddress,625 westport pkwy,,Irving,TX,76051,US,626 westport pkwy,,Irving,TX,76051,US,Review,"339992",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46828,PaymentService-CheckFraud-Physical Product Purchase using InValid GC,GS_US,TRUE,Reject,Accept@GameStop.com,,,,,,,7364911003999900000,435,10,,,ShipToAddress,625 westport pkwy,,Irving,TX,76051,US,626 westport pkwy,,Irving,TX,76051,US,Review,"800874",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46829,PaymentService-CheckFraud-Physical Product Purchase using InValid CC,GS_US,TRUE,Reject,Accept@GameStop.com,Visa,5111111111111110,12,2020,10,343,,,,,,ShipToAddress,625 westport pkwy,,Irving,TX,76051,US,625 westport pkwy,,Irving,TX,76051,US,Review,"800874",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46734,PaymentService-CheckFraud-CC number as clear text,GS_US,FALSE,Accept,Accept@GameStop.com,Visa,4111111111111111,12,2020,10,343,,,,,,ShipToAddress,625 westport pkwy,,Irving,TX,76051,US,625 westport pkwy,,Irving,TX,76051,US,Accepted,"800874",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46736,PaymentService-CheckFraud-CC number as token,GS_US,TRUE,Accept,Accept@GameStop.com,Visa,4111111111111111,12,2020,10,343,,,,,,ShipToAddress,625 westport pkwy,,Irving,TX,76051,US,625 westport pkwy,,Irving,TX,76051,US,Accepted,"800874",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS47914,PaymentService-CheckFraud-Physical Product Purchase using Valid CC as Auth user,OMS,TRUE,Review,Accept@GameStop.com,Visa,4111111111111111,12,2020,10,343,,,,,,ShipToAddress,625 westport pkwy,,Irving,TX,76051,US,625 westport pkwy,,Irving,TX,76051,US,Review,"800874",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
