"ID","Project","ScriptName","TestDescription","client_channel","free_pur_member","promo_code","shipping_option","ship_first_name","ship_last_name","ship_addr1","ship_addr2","ship_city","ship_state","ship_zip","ship_country","ship_email","ship_phone","submit_order_flag","power_up_rewards_number","promo_code_number","SqlQuery","Databases","DB_ENV","Endpoints","SVC_ENV","Property","PROP_URL","category_drop_down_value","category_drop_down_test","dollar_amount_off","percent_off","search_value","order_number","order_look_up_track_order_status","order_look_up_search_pur_no","order_look_up_search_order_no","ups_shipped","ups_delivered","shipping_search_lname_zip","shipping_search_email","shipping_search_pur_no","product_details_full_details","product_details_out_of_stocks","product_details_mature_product","sku","is_new","disable_state"
"TFS47256","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_product_details_spec.rb --browser ie","Age Verification box for matured products (Available)","WIS",,,"Standard","Testdrop","Testdrop","PO BOX 001","TestAddress2","Irving","Texas",75063,"United States of America","jerico.declaro@gamestop.com",9167301469,"TRUE",3876307605154,"NULL","WIS_available_mature_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,,,,,,,,,,,,,"TRUE",,,
"TFS47257","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_checkout_pro_pur_pre_owned_spec.rb --browser ie","Checkout Pro PUR discount applicable Preowned","WIS","FALSE",,"Standard","Generic_Ship","Tester","5615 High Point Dr",,"Irving","Texas",75038,"United States of America","auto_generic_qa@gamestop.com",9728916038,"TRUE",3876713831642,"NULL","WIS_Available_PreOwned.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,,,,,,,,,,,,,,,"FALSE","FALSE"
"TFS47258","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_checkout_shipping_po_box_address_spec.rb --browser ie","Checkout Shipping Add PO Box Address Line 1","WIS",,,"Priority","Generic_Ship","Tester","PO BOX 001",,"Irving","Texas",75063,"United States of America","jerico.declaro@gamestop.com",9167301469,"TRUE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,,,,,,,,,,,,,,,"TRUE","FALSE"
"TFS47259","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_checkout_shipping_po_box_address_spec.rb --browser ie","Checkout Shipping Add PO Box Address Line 2","WIS",,,"Priority","Generic_Ship","Tester","123 Homestead","PO BOX 002","Irving","Texas",75063,"United States of America","auto_generic_qa@gamestop.com",9728916038,"TRUE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,,,,,,,,,,,,,,,"TRUE","FALSE"
"TFS48475","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_checkout_verify_coupon_by_percentage_spec.rb --browser chrome","Checkout Should checkout with shipping coupon code (public)","WIS",,"50OFFOvernight","One Day","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","pur_free_qa@qagsecomprod.oib.com",9728916038,"FALSE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,50,"50% off for Overnight Shipping",,,,,,,,,,,,,802112,"FALSE","FALSE"
"TFS48872","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_order_fulfillment_spec.rb --browser chrome","Order Fulfillment","WIS",,,"Standard","Testdrop","Testdrop","PO BOX 001","TestAddress2","Irving","Texas",75063,"United States of America","jerico.declaro@gamestop.com",9167301469,"TRUE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,,,,,,,,,,,,,"FALSE",,,
"TFS49028","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_checkout_pro_pur_pre_owned_spec.rb --browser ie","Checkout process (with customer information)","WIS","FALSE",,"Standard","Generic_Ship","Tester","5615 High Point Dr",,"Irving","Texas",75038,"United States of America","auto_generic_qa@gamestop.com",9728916038,"TRUE",3876307605154,"NULL","WIS_Available_PreOwned.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,"No Customer Information",,,,,,,,,,,,,,"FALSE","FALSE"
"TFS49030","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_product_details_spec.rb --browser ie","Age Verification box for matured products (Out of stock)","WIS",,,"Standard","Testdrop","Testdrop","PO BOX 001","TestAddress2","Irving","Texas",75063,"United States of America","jerico.declaro@gamestop.com",9167301469,"TRUE",3876307605154,"NULL","WIS_available_mature_products_nsf.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,,,,,,,,,,,,"TRUE","TRUE",,,
"TFS49596","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_catalog_search_spec.rb --browser ie","Catalog Search by Category (category display)","WIS",,,"Standard","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","auto_generic_qa@gamestop.com",9728916038,"TRUE",,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","Microsoft Software","TRUE",,,,,,,,,,,,,,,,,,
"TFS49597","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_catalog_search_spec.rb --browser ie","Catalog Search by Category (match category)","WIS",,,"Standard","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","auto_generic_qa@gamestop.com",9728916038,"TRUE",,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","Microsoft Software","TRUE",,,,,,,,,,,,,,,,,,
"TFS49598","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_catalog_search_spec.rb --browser ie","Catalog Search by Category (does not match category)","WIS",,,"Standard","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","auto_generic_qa@gamestop.com",9728916038,"TRUE",,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","Microsoft Software","TRUE",,,"Iphone",,,,,,,,,,,,,,,
"TFS49602","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_catalog_search_spec.rb --browser ie","Catalog paging when search results exceeds the page size","WIS",,,"Standard","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","auto_generic_qa@gamestop.com",9728916038,"TRUE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,"FALSE",,,,,,,,,,,,,,,,,,
"TFS49610","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_catalog_search_spec.rb --browser ie","Verify Out of Stock icon display OnHand qty is 0 ","WIS",,,"Standard","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","auto_generic_qa@gamestop.com",9728916038,"TRUE",,"NULL","Get_NFS_OnHandQty_Products_0-Qty.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,"FALSE",,,,,,,,,,,,,,,,,,
"TFS49619","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_catalog_search_spec.rb --browser ie","Verify Low Stock icon display qty is less than 10","WIS",,,"Standard","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","auto_generic_qa@gamestop.com",9728916038,"TRUE",,"NULL","WIS_available_products_low_stocks.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,"FALSE",,,,,,,,,,,,,,,,,,
"TFS49627","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_catalog_search_spec.rb --browser ie","Catalog Search Search All","WIS",,,"Standard","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","auto_generic_qa@gamestop.com",9728916038,"TRUE",,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,"FALSE",,,"Guild Wars 2",,,,,,,,,,,,,,,
"TFS49630","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_catalog_search_spec.rb --browser ie","Catalog search results (Sort By Best Selling descending)","WIS",,,"Standard","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","auto_generic_qa@gamestop.com",9728916038,"TRUE",,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,"FALSE",,,"Guild Wars 2",,,,,,,,,,,,,,,
"TFS49631","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_catalog_search_spec.rb --browser ie","Catalog search results (Sort By Lowest Price ascending)","WIS",,,"Standard","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","auto_generic_qa@gamestop.com",9728916038,"TRUE",,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,"FALSE",,,"Guild Wars 2",,,,,,,,,,,,,,,
"TFS49632","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_catalog_search_spec.rb --browser ie","Catalog search results (Sort By Release Date ascending)","WIS",,,"Standard","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","auto_generic_qa@gamestop.com",9728916038,"TRUE",,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,"FALSE",,,"Guild Wars 2",,,,,,,,,,,,,,,
"TFS49643","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_checkout_shipping_options_spec.rb --browser ie","Checkout USA One Day ","WIS",,,"One Day","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","auto_generic_qa@gamestop.com",9728916038,"TRUE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,"No Customer Information",,,,,,,,,,,,,,"TRUE","FALSE"
"TFS49644","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_checkout_shipping_options_spec.rb --browser ie","Checkout USA Two Day ","WIS",,,"Two Day","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","auto_generic_qa@gamestop.com",9728916038,"TRUE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,"No Customer Information",,,,,,,,,,,,,,"TRUE","FALSE"
"TFS49645","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_checkout_shipping_options_spec.rb --browser ie","                             ","WIS",,,"Standard","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","auto_generic_qa@gamestop.com",9728916038,"TRUE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,"No Customer Information",,,,,,,,,,,,,,"TRUE","FALSE"
"TFS49646","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_checkout_shipping_options_spec.rb --browser ie","Checkout USA Value","WIS",,,"Value","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","auto_generic_qa@gamestop.com",9728916038,"TRUE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,"No Customer Information",,,,,,,,,,,,,,"TRUE","FALSE"
"TFS49648","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_checkout_shipping_options_spec.rb --browser ie","Checkout with Puerto Rico address","WIS",,,"Expedited","Generic_Ship","Tester","Puerto Rico address"," ","Rio Grande ","Puerto Rico",75063,"United States of America","auto_generic_qa@gamestop.com",9728916038,"TRUE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,,,,,,,,,,,,,,,"TRUE","FALSE"
"TFS49649","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_checkout_international_address_spec.rb --browser ie","Checkout with International Zone 1 Canada address","WIS",,,"International(Zone 1)","Generic_Ship","Tester","1010 Easy St","Orange Avenue","Ottawa","Ontario","K1A 0B1","Canada","auto_generic_qa@gamestop.com",9728916038,"TRUE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,,,,,,,,,,,,,,,"TRUE","FALSE"
"TFS49661","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_checkout_verify_coupon_by_percentage_spec.rb –browser chrome","Checkout  Verify order level coupon by percentage","WIS",,"WIS-EcomQAUseONLY-2","Standard","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","bf_gsdc6@qagsecomprod.oib.com",9728916038,"FALSE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,10,"Order level - 10% off order subtotal ",,,,,,,,,,,,,802112,"FALSE","FALSE"
"TFS49662","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_checkout_verify_coupon_by_percentage_spec.rb –browser chrome","Checkout Verify product level coupon by percentage","WIS",,"WIS-EcomQAUseONLY-3","Standard","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","bf_gsdc6@qagsecomprod.oib.com",9728916038,"FALSE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,10,"Item level - 10% off any item ",,,,,,,,,,,,,802112,"FALSE","FALSE"
"TFS49663","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_checkout_verify_coupon_by_amount_spec.rb –browser chrome","Checkout Verify order level coupon by amount","WIS",,"WIS-EcomQAUseONLY-1","Standard","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","bf_gsdc6@qagsecomprod.oib.com",9728916038,"FALSE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,1,,"Order level - $1 off order subtotal",,,,,,,,,,,,,802112,"FALSE","FALSE"
"TFS49664","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_checkout_verify_coupon_by_amount_spec.rb –browser chrome","Checkout Verify product level coupon by amount","WIS",,"WIS-EcomQAUseONLY-4","Standard","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","bf_gsdc6@qagsecomprod.oib.com",9728916038,"FALSE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,10,,"$10 off any item",,,,,,,,,,,,,802112,"FALSE","FALSE"
"TFS49665","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_checkout_auto_firing_coupon_spec.rb--browser chrome","Checkout with auto-firing coupon","WIS",,,"Standard","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","eileensiriban@gamestop.com",9728916038,"TRUE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,,,,,,,,,,,,,,"170509,831361","TRUE","FALSE"
"TFS49666","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_checkout_verify_expired_coupon_spec.rb –browser chrome","Checkout Verify expired coupon","WIS",,"WIS-EcomQAUseONLY-11","Standard","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","bf_gsdc6@qagsecomprod.oib.com",9728916038,"FALSE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,"The coupon you entered is not currently valid. Please check the spelling of the code and the expiration date of the coupon.",,,,,,,,,,,,,802112,"FALSE","FALSE"
"TFS49678","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_orders_order_lookup_spec.rb --browser ie","UPS Tracking Details details InTransit","WIS",,,"Standard","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","auto_generic_qa@gamestop.com",9728916038,"TRUE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,,9130927094680290,"FALSE","FALSE","FALSE","TRUE","FALSE",,,,,,,,,
"TFS49680","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_orders_order_lookup_spec.rb --browser ie","UPS Tracking Details details Delivered","WIS",,,"Standard","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","auto_generic_qa@gamestop.com",9728916038,"TRUE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,,9130927094680290,"FALSE","FALSE","FALSE","FALSE","TRUE",,,,,,,,,
"TFS49682","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_catalog_search_spec.rb --browser ie","Order Lookup search results exceeds the page size","WIS",,,"Standard","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","auto_generic_qa@gamestop.com",9728916038,"TRUE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,"FALSE",,,,,,,,,,,,,,,,,,
"TFS49690","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_checkout_drop_ship_item_po_box_address_spec.rb --browser ie","Checkout Drop Ship item using US Address","WIS",,,"Standard","Testdrop","Testdrop","123 Homestead",,"Irving","Texas",75063,"United States of America","eileensiriban@gamestop.com",9167301469,"TRUE",3876307605154,"NULL","WIS_available_is_drop_ship_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,,,,,,,,,,,,,,,"TRUE","FALSE"
"TFS49691","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_checkout_drop_ship_item_po_box_address_spec.rb --browser ie","Checkout Drop Ship item using PO Box Address","WIS",,,"Standard","Testdrop","Testdrop","PO BOX 001","TestAddress2","Irving","Texas",75063,"United States of America","jerico.declaro@gamestop.com",9167301469,"FALSE",3876307605154,"NULL","WIS_available_is_drop_ship_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,"We're sorry! We couldn't find any valid shipping options for the address you provided. Please edit your shipping address and try again. If the address provided is a PO Box, APO/FPO or outside the US, check for shipping restrictions on the product details page for items in the cart. If you continue to see this message, please contact Customer Service.",,,,,,,,,,,,,,"TRUE","FALSE"
"TFS49692","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_checkout_drop_ship_item_po_box_address_spec.rb  --browser ie","Verify Drop Ship item with excluded shipping types","WIS",,,"Standard","Testdrop","Testdrop","PO BOX 001","TestAddress2","Irving","Texas",75063,"United States of America","jerico.declaro@gamestop.com",9167301469,"FALSE",3876307605154,"NULL","WIS_available_is_drop_ship_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,"We're sorry! We couldn't find any valid shipping options for the address you provided. Please edit your shipping address and try again. If the address provided is a PO Box, APO/FPO or outside the US, check for shipping restrictions on the product details page for items in the cart. If you continue to see this message, please contact Customer Service.",,,,,,,,,,,,,,"TRUE","FALSE"
"TFS49693","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_checkout_drop_ship_item_po_box_address_spec.rb --browser ie","Checkout Drop Ship item with APO FPO address","WIS",,,"Standard","Testdrop","Testdrop","UNIT 2050 BOX 490 ","TestAddress2","APO","Armed Forces - Americas",75063,"United States of America","jerico.declaro@gamestop.com",1115553333,"FALSE",3876307605154,"NULL","WIS_available_is_drop_ship_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,"We're sorry! We couldn't find any valid shipping options for the address you provided. Please edit your shipping address and try again. If the address provided is a PO Box, APO/FPO or outside the US, check for shipping restrictions on the product details page for items in the cart. If you continue to see this message, please contact Customer Service.",,,,,,,,,,,,,,"TRUE","FALSE"
