"ID","Project","ScriptName","TestDescription","login","password","powerup_number","svs","pin","cc_type","cc_number","cc_month","cc_year","cvv","shipping_option","ship_first_name","ship_last_name","ship_addr1","ship_addr2","ship_city","ship_county","ship_state","ship_zip","ship_country","ship_email","ship_phone","load_ship_addr_from_profile","bill_first_name","bill_last_name","bill_addr1","bill_addr2","bill_city","bill_county","bill_state","bill_zip","bill_country","bill_email","bill_phone","load_bill_addr_from_profile","hops_zip","hops_phone","submit_order_flag","use_paypal_at_cart","use_paypal_at_payment","power_up_rewards_number","promo_code_number","discount_type","discount_amount_from_cart","add_free_gift","add_digital_wallet","pay_from_digital_wallet","billing_address_same_as_shipping","sign_up_weekly_ads","SqlQuery","Databases","DB_ENV","Endpoints","SVC_ENV","Property","PROP_URL","browser","GC_TYPE","GC_AMNT","GC_QTY","do_linkshare","do_ef","do_ci","do_optimizely","do_adroll","do_google_analytics","do_upsell","do_ispu"
,,,,"gsui_20140606_140645_518@qagsecomprod.oib.com","T3sting1",3976299288728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TFS60286","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Cookie verification on m.gamestop.com poweruprewards after Log In","gsui_20140606_140647_712@qagsecomprod.oib.com","T3sting1",3976222196147,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","MQA_GS","chrome",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"TFS60287","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Cookie verification on m.gamestop.com poweruprewards after Log Out","gsui_20140606_140650_264@qagsecomprod.oib.com","T3sting1",3976763086350,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","MQA_GS","chrome",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"TFS60304","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Cookie verification on m.gamestop.com poweruprewards after Log Out","gsui_20140606_140652_385@qagsecomprod.oib.com","T3sting1",3976170706384,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","MQA_GS","chrome",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TFS60291","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Check Cookies for Hard Log In for m.GS.com in Non Secure Pages Main page","gsui_20140606_140656_873@qagsecomprod.oib.com","T3sting1",3976987497581,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","MQA_GS","chrome",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"TFS60292","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Check Cookies for Hard Log In for m.GS.com in Secure Pages Order Lookup","gsui_20140606_140659_113@qagsecomprod.oib.com","T3sting1",3976215426063,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","MQA_GS","chrome",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"TFS60294","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Check Cookies for Log Out for m.GS.com","gsui_20140606_140701_394@qagsecomprod.oib.com","T3sting1",3976205833567,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","MQA_GS","chrome",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"TFS60295","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Check Cookies for Anonymous In for m.GS.com","gsui_20140606_140703_641@qagsecomprod.oib.com","T3sting1",3976848305460,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","MQA_GS","chrome",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TFS60296","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Check Cookies for  Hard Log In for m.GS.com checkout Non Secure pages Main page","gsui_20140606_140706_407@qagsecomprod.oib.com","T3sting1",3976110401070,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","MQA_GS","chrome",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"TFS60297","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Check Cookies for Hard Log In for m.GS.com checkout in Secure Pages","gsui_20140606_140708_713@qagsecomprod.oib.com","T3sting1",3976334523022,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","MQA_GS","chrome",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"TFS60299","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Check Cookies for Log Out for m.GS.com checkout","gsui_20140606_140710_878@qagsecomprod.oib.com","T3sting1",3976109035202,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","MQA_GS","chrome",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"TFS60300","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Check Cookies for Anonymous In for m.GS.com checkout","gsui_20140606_140713_148@qagsecomprod.oib.com","T3sting1",3976273369684,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","MQA_GS","chrome",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"TFS60302","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Check Cookies for Hard Log In for m.GS.com checkout in Secure Pages","gsui_20140606_140715_297@qagsecomprod.oib.com","T3sting1",3976670397049,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","MQA_GS","chrome",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TFS60301","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Check Cookies for  Hard Log In for m.GS.com PUR on Non secure pages","gsui_20140606_140717_560@qagsecomprod.oib.com","T3sting1",3976761254216,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","MQA_GS","chrome",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TFS60298","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Check Cookies for  Soft Log In for m.GS.com checkout","gsui_20140606_140722_136@qagsecomprod.oib.com","T3sting1",3976221090721,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","MQA_GS","chrome",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"TFS60303","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Check Cookies for  Soft Log In for m.GS.com PUR","gsui_20140606_140724_737@qagsecomprod.oib.com","T3sting1",3976366273801,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","MQA_GS","chrome",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"TFS59613","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Check if the User details are displayed correctly in the Header","gsui_20140606_140624_403@qagsecomprod.oib.com","T3sting1",3976446736603,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","firefox",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"TFS59609","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome -e 'TFS59609'","Should logout successfully and go back to homepage","gsui_20140606_140624_403@qagsecomprod.oib.com","T3sting1",3976446736603,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","firefox",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
