"ID","Project","FunctionalArea","Role","Focus","ScriptName","TestDescription","login","password","powerup_number","load_ship_addr_from_profile","load_bill_addr_from_profile","svs","pin","cc_type","cc_number","cc_month","cc_year","cvv","shipping_option","ship_first_name","ship_last_name","ship_addr1","ship_addr2","ship_city","ship_county","ship_state","ship_zip","ship_country","ship_email","ship_phone","bill_first_name","bill_last_name","bill_addr1","bill_addr2","bill_city","bill_county","bill_state","bill_zip","bill_country","bill_email","bill_phone","hops_zip","hops_phone","submit_order_flag","use_paypal_at_cart","use_paypal_at_payment","promo_code_number","discount_type","add_free_gift","gift_msg","add_digital_wallet","pay_from_digital_wallet","billing_address_same_as_shipping","renewal_type","renew_pur","GC_TYPE","GC_AMNT","GC_QTY","GC_OTHER_AMNT","do_linkshare","do_ef","do_ci","do_optimizely","do_adroll","do_google_analytics","do_ispu","do_upsell","validate_cart_badge","SqlQuery","Databases","DB_ENV","Endpoints","SVC_ENV","Property","PROP_URL","env","browser","sku","qty"
"TFS49527","OMS","Checkout","AU","Paypal","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","SLSU Order Placed with Payment PayPal ","oms_review_user@gamestop.com","T3sting1",,"TRUE","FALSE",,,"Visa","4111111111111111","05",2020,123,,"Review","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_review_user@gamestop.com",8174242000,"Review","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_review_user@gamestop.com",8174242000,75220,"(972) 891-6078","TRUE","TRUE","FALSE",,,"FALSE",,"FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome",270731,1
"TFS49524","OMS","Checkout","AU","Paypal","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","DLC Order Placed with Payment PayPal ","oms_review_user@gamestop.com","T3sting1",,"TRUE","FALSE",,,"Visa","4111111111111111","05",2020,123,,"Review","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_review_user@gamestop.com",8174242000,"Review","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_review_user@gamestop.com",8174242000,75220,"(972) 891-6078","TRUE","TRUE","FALSE",,,"FALSE",,"FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome",550001,1
"TFS67712","OMS","Checkout","AU","Discount","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","Verify bundle pricing when addl discount is given at order creation","oms_qa_09@gamestop.com","T3sting1",,"TRUE","FALSE",,,"Visa","4111111111111111","05",2020,123,,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","gsui_20140606_140656_873@qagsecomprod.oib.com",8174242000,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","gsui_20140606_140656_873@qagsecomprod.oib.com",8174242000,75220,"(972) 891-6078","TRUE","FALSE","FALSE","EcomQAUseONLY-3",,"FALSE",,"FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome","B270778A",1
"TFS49570","OMS","Checkout","AU","Paypal","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","Order Placed with  tender PayPal","oms_review_user@gamestop.com","T3sting1",,"TRUE","FALSE",,,"Visa","4111111111111111","05",2020,123,,"Review","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_review_user@gamestop.com",8174242000,"Review","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_review_user@gamestop.com",8174242000,75220,"(972) 891-6078","TRUE","TRUE","FALSE",,,"FALSE",,"FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome","952002|270731|B020056T","2|2|2"
"TFS74097","OMS","Checkout","AU","Paypal","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","Verify sale of a Bundle order including Warranty and Non Warranty Bundle","oms_qa_10@gamestop.com","T3sting1",,"TRUE","FALSE",,,"Visa","4111111111111111","05",2020,123,,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_qa_01@gamestop.com",8174242000,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_qa_01@gamestop.com",8174242000,75220,"(972) 891-6078","TRUE","TRUE","FALSE",,,"FALSE",,"FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome","B030003A",1
"TFS87772","OMS","Checkout","AU","Paypal","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","order a bundle that is configured as ship independently with PreOrder components","oms_qa_11@gamestop.com","T3sting1",,"TRUE","FALSE",,,"Visa","4111111111111111","05",2020,123,,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_qa_01@gamestop.com",8174242000,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_qa_01@gamestop.com",8174242000,75220,"(972) 891-6078","TRUE","TRUE","FALSE",,,"FALSE",,"FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome","B030003A",1
"TFS87773","OMS","Checkout","AU","Paypal","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","order a bundle that is configured as Deliver together with street date","oms_qa_12@gamestop.com","T3sting1",,"TRUE","FALSE",,,"Visa","4111111111111111","05",2020,123,,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_qa_01@gamestop.com",8174242000,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_qa_01@gamestop.com",8174242000,75220,"(972) 891-6078","TRUE","TRUE","FALSE",,,"FALSE",,"FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome","B952002T",1
"TFS49507","OMS","Checkout","AU","Paypal","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","Web cancellation of order  for GS.COM order tendered with  PayPal","oms_qa_13@gamestop.com","T3sting1",,"TRUE","FALSE",,,"Visa","4111111111111111","05",2020,123,,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_qa_01@gamestop.com",8174242000,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_qa_01@gamestop.com",8174242000,75220,"(972) 891-6078","TRUE","TRUE","FALSE",,,"FALSE",,"FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome",952002,1
"TFS49509","OMS","Checkout","AU","Paypal","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","Web partial cancellation of GS.COM order tendered with  PayPal","oms_qa_14@gamestop.com","T3sting1",,"TRUE","FALSE",,,"Visa","4111111111111111","05",2020,123,,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_qa_01@gamestop.com",8174242000,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_qa_01@gamestop.com",8174242000,75220,"(972) 891-6078","TRUE","TRUE","FALSE",,,"FALSE",,"FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome","952002|952006","2|2"
"TFS49511","OMS","Checkout","AU","Paypal","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","Partial cancellation of web order paid with PayPal","oms_qa_15@gamestop.com","T3sting1",,"TRUE","FALSE",,,"Visa","4111111111111111","05",2020,123,,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_qa_01@gamestop.com",8174242000,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_qa_01@gamestop.com",8174242000,75220,"(972) 891-6078","TRUE","TRUE","FALSE",,,"FALSE",,"FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome","952002|952006","2|2"
"TFS49512","OMS","Checkout","AU","Paypal","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","Change LOS GS.COM order tendered with PayPal ","oms_qa_16@gamestop.com","T3sting1",,"TRUE","FALSE",,,"Visa","4111111111111111","05",2020,123,,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_qa_01@gamestop.com",8174242000,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_qa_01@gamestop.com",8174242000,75220,"(972) 891-6078","TRUE","TRUE","FALSE",,,"FALSE",,"FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome",952006,1
"TFS49515","OMS","Checkout","AU","Paypal","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","PayPal tender suspend of charge  in Call Center","oms_review_user@gamestop.com","T3sting1",,"TRUE","FALSE",,,"Visa","4111111111111111","05",2020,123,,"Review","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_review_user@gamestop.com",8174242000,"Review","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_review_user@gamestop.com",8174242000,75220,"(972) 891-6078","TRUE","TRUE","FALSE",,,"FALSE",,"FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome",952006,1
"TFS87348","OMS","Checkout","AU","Paypal","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","Order DLC product via Paypal","oms_qa_17@gamestop.com","T3sting1",,"TRUE","FALSE",,,"Visa","4111111111111111","05",2020,123,,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_qa_01@gamestop.com",8174242000,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_qa_01@gamestop.com",8174242000,75220,"(972) 891-6078","TRUE","TRUE","FALSE",,,"FALSE",,"FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome",101969,1
"TFS49516","OMS","Checkout","AU","Paypal","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","PayPal tender suspend of charge","oms_review_user02@gamestop.com","T3sting1",,"TRUE","FALSE",,,"Visa","4111111111111111","05",2020,123,,"Review","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_review_user@gamestop.com",8174242000,"Review","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_review_user@gamestop.com",8174242000,75220,"(972) 891-6078","TRUE","TRUE","FALSE",,,"FALSE",,"FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome",952006,1
"TFS49522","OMS","Checkout","AU","Paypal","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","order tendered with PayPal","oms_review_user03@gamestop.com","T3sting1",,"TRUE","FALSE",,,"Visa","4111111111111111","05",2020,123,,"Review","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_review_user@gamestop.com",8174242000,"Review","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_review_user@gamestop.com",8174242000,75220,"(972) 891-6078","TRUE","TRUE","FALSE",,,"FALSE",,"FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome",952006,1
"TFS49525","OMS","Checkout","AU","Paypal","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","Apply discount on GS.COM  PayPal tendered order before full auth","oms_review_user04@gamestop.com","T3sting1",,"TRUE","FALSE",,,"Visa","4111111111111111","05",2020,123,,"Review","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_review_user@gamestop.com",8174242000,"Review","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_review_user@gamestop.com",8174242000,75220,"(972) 891-6078","TRUE","TRUE","FALSE",,,"FALSE",,"FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome",952006,1
"TFS49526","OMS","Checkout","AU","Paypal","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","Apply discount on GS.COM  PayPal tendered order after  full auth","oms_review_user05@gamestop.com","T3sting1",,"TRUE","FALSE",,,"Visa","4111111111111111","05",2020,123,,"Review","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_review_user@gamestop.com",8174242000,"Review","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_review_user@gamestop.com",8174242000,75220,"(972) 891-6078","TRUE","TRUE","FALSE",,,"FALSE",,"FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome",952006,1
"TFS49572","OMS","Checkout","AU","Paypal","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","Cancellation of web order paid with PayPal","oms_review_user06@gamestop.com","T3sting1",,"TRUE","FALSE",,,"Visa","4111111111111111","05",2020,123,,"Review","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_review_user@gamestop.com",8174242000,"Review","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_review_user@gamestop.com",8174242000,75220,"(972) 891-6078","TRUE","TRUE","FALSE",,,"FALSE",,"FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome",952002,1
