"id","test_description","powerup_number","cc_type","cc_number","cc_month","cc_year","cvv","shipping_option","ship_first_name","ship_last_name","ship_addr1","ship_addr2","ship_city","ship_state","ship_zip","ship_country","ship_email","ship_phone","bill_first_name","bill_last_name","bill_addr1","bill_addr2","bill_city","bill_state","bill_zip","bill_country","bill_email","bill_phone","hops_zip","hops_phone","submit_order_flag","power_up_rewards_number","promo_code_number","add_free_gift","add_digital_wallet","billing_address_same_as_shipping","sign_up_weekly_ads","SqlQuery","Databases","DB_ENV","Endpoints","SVC_ENV"
,"Legacy",,"MasterCard","5.58439892997308E+015","09","2017","664","Standard","Generic_Ship","Testerca","15 Broadway W",,"Vancouver","British Columbia","V5Y 1P1",,,"6047330611","Generic_Bill","Canada","1 Broadway W",,"Vancouver","British Columbia","V5Y 1P1",,,"9728916078","V5Y 1P1","(972) 891-6078","false","NULL","NULL","false","false","false","false","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA2_V1"
,"Legacy","3876106451859","Visa","4.92939104626798E+015","10","2016","128","Standard","Generic_Ship","Tester","5615 High Point Dr",,"Irving","Texas","75038",,,"9728916038","Generic_Bill","Tester","5615 High Point Dr",,"Irving","Texas","75038",,,"9728916078","75038","(972) 891-6078","false","NULL","NULL","false","false","false","false","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA2_V1"
,"Legacy",,"MasterCard","5.58439892997308E+015","11","2015","821","Standard","Generic_Ship","Testerca","15 Broadway W",,"Vancouver","British Columbia","V5Y 1P1",,,"6047330611","Generic_Bill","Canada","1 Broadway W",,"Vancouver","British Columbia","V5Y 1P1",,,"9728916078","V5Y 1P1","(972) 891-6078","false","NULL","NULL","false","false","false","false","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA2_V1"
,"Legacy","3876106451859","Visa","4.92939104626798E+015","12","2014","136","Standard","Generic_Ship","Tester","5615 High Point Dr",,"Irving","Texas","75038",,,"9728916038","Generic_Bill","Tester","5615 High Point Dr",,"Irving","Texas","75038",,,"9728916078","75038","(972) 891-6078","false","NULL","NULL","false","false","false","false","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA2_V1"
,"Legacy","3876106451859","Visa","4.92939104626798E+015","01","2013","642","Standard","Generic_Ship","Tester","5615 High Point Dr",,"Irving","Texas","75038",,,"9728916038","Generic_Bill","Tester","5615 High Point Dr",,"Irving","Texas","75038",,,"9728916078","75038","(972) 891-6078","false","NULL","NULL","false","false","false","false","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA2_V1"
,"Legacy",,"MasterCard","5.58439892997308E+015","02","2012","448","Standard","Generic_Ship","Testerca","15 Broadway W",,"Vancouver","British Columbia","V5Y 1P1",,,"6047330611","Generic_Bill","Canada","1 Broadway W",,"Vancouver","British Columbia","V5Y 1P1",,,"9728916078","V5Y 1P1","(972) 891-6078","false","NULL","NULL","false","false","false","false","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA2_V1"
,"Legacy","3876234510014","American Express","343434343434343","10","2020","1128","Standard","Generic_Ship","Tester","5615 High Point Dr",,"Irving","TX","75038","United States of America",,"9728916038","Generic_Bill","Tester","5615 High Point Dr",,"Irving","TX","75038","United States of America","chug-85540@mypacks.net","9728916078","75220","(972) 891-6078","true","NULL","NULL","false","false","false","false","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA2_V1"
"TFSTEMP01","New Checkout in Gamestop","3876234510014","MasterCard","5.58439892997308E+015","01","2015","121","Standard","Generic_Ship","Tester","5615 High Point Dr",,"Irving","TX","75038","United States of America","auto_generic_qa@gamestop.com","9728916038","Generic_Bill","Tester","5615 High Point Dr",,"Irving","TX","75038","United States of America","chug-85540@mypacks.net","9728916078","75220","(972) 891-6078","true","NULL","NULL","False","False","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA2_V1"
"TFSTEMP02","New Checkout in EBGames","3876234510014","American Express","343434343434343","12","2015","4512","Standard","Generic_Ship","Tester","5615 High Point Dr",,"Irving","TX","75038","United States of America","auto_generic_qa@gamestop.com","9728916038","Generic_Bill","Tester","5615 High Point Dr",,"Irving","TX","75038","United States of America","chug-85540@mypacks.net","9728916078","75220","(972) 891-6078","true","NULL","NULL","False","False","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA2_V1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for Huntsville Alabama",,"Visa","4.92939104626798E+015","06","2019","642","Value","Alabama","Tester","2600 Memorial Pkwy NW","Suite 300","Huntsville","AL",35810,"United States of America",,,,,"2600 Memorial Pkwy NW","Suite 300","Huntsville","AL",35810,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"MasterCard","5.58439892997308E+015","01","2015","121","Value","Alaska","Tester","320 West 5th Avenue",,"Anchorage","AK",99501,"United States of America",,,,,"320 West 5th Avenue",,"Anchorage","AK",99501,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"American Express","343434343434343","12","2015","4512","Value","Arizona","Tester","545 E McDowell",,"Phoenix","AZ",85007,"United States of America",,,,,"545 E McDowell",,"Phoenix","AZ",85007,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Discover","6011963280099774","10","2014","221","Value","Arkansas","Tester","1401 Phyllis St",,"Bentonville","AR",72712,"United States of America",,,,,"1401 Phyllis St",,"Bentonville","AR",72712,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Visa","4.92939104626798E+015","06","2019","642","Value","California","Tester","777 Story Rd","Apt 2","San Jose","CA",95122,"United States of America",,,,,"777 Story Rd","Apt 2","San Jose","CA",95122,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"MasterCard","5.58439892997308E+015","01","2015","121","Value","Colorado","Tester","505 East Colfax Avenue",,"Denver","CO",80203,"United States of America",,,,,"505 East Colfax Avenue",,"Denver","CO",80203,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"American Express","343434343434343","12","2015","4512","Value","Connecticut","Tester","98 Weston St",,"Hartford","CT",16120,"United States of America",,,,,"98 Weston St",,"Hartford","CT",16120,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Discover","6011963280099774","10","2014","221","Value","Delaware","Tester","263 Walmart Dr",,"Camden","DE",19934,"United States of America",,,,,"263 Walmart Dr",,"Camden","DE",19934,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Visa","4.92939104626798E+015","06","2019","642","Value","DC","Tester","6 Independence Ave SW",,"Washington","DC",20004,"United States of America",,,,,"6 Independence Ave SW",,"Washington","DC",20004,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"MasterCard","5.58439892997308E+015","01","2015","121","Value","Florida","Tester","5440 Washington St",,"Tampa","FL",33606,"United States of America",,,,,"5440 Washington St",,"Tampa","FL",33606,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"American Express","343434343434343","12","2015","4512","Value","Georgia","Tester","30 Marietta St","5th Floor","Atlanta","GA",30303,"United States of America",,,,,"30 Marietta St","5th Floor","Atlanta","GA",30303,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Discover","6011963280099774","10","2014","221","Value","Hawaii","Tester","888 Kapahulu Ave",,"Honolulu","HI",96816,"United States of America",,,,,"888 Kapahulu Ave",,"Honolulu","HI",96816,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Visa","4.92939104626798E+015","06","2019","642","Value","Idaho","Tester","1185 Vista Ave",,"Boise","ID",83705,"United States of America",,,,,"1185 Vista Ave",,"Boise","ID",83705,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"MasterCard","5.58439892997308E+015","01","2015","121","Value","Illinois","Tester","1183 Ogden Ave",,"Naperville","IL",60563,"United States of America",,,,,"1183 Ogden Ave",,"Naperville","IL",60563,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"American Express","343434343434343","12","2015","4512","Value","Indiana","Tester","1602 North State Street",,"Greenfield","IN",46140,"United States of America",,,,,"1602 North State Street",,"Greenfield","IN",46140,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Discover","6011963280099774","10","2014","221","Value","Iowa","Tester","411 Central Avenue",,"Hampton","IA",50441,"United States of America",,,,,"411 Central Avenue",,"Hampton","IA",50441,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Visa","4.92939104626798E+015","06","2019","642","Value","Kansas","Tester","1011 Westloop Place",,"Manhattan","KS",66502,"United States of America",,,,,"1011 Westloop Place",,"Manhattan","KS",66502,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"MasterCard","5.58439892997308E+015","01","2015","121","Value","Kentucky","Tester","302 Philadelphia",,"Covington","KY",41011,"United States of America",,,,,"302 Philadelphia",,"Covington","KY",41011,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"American Express","343434343434343","12","2015","4512","Value","Louisiana","Tester","5224 Florida Blvd",,"Baton Rouge","LA",70806,"United States of America",,,,,"5224 Florida Blvd",,"Baton Rouge","LA",70806,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Discover","6011963280099774","10","2014","221","Value","Maine","Tester","128 Center Street",,"Auburn","ME",64710,"United States of America",,,,,"128 Center Street",,"Auburn","ME",64710,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Visa","4.92939104626798E+015","06","2019","642","Value","Maryland","Tester","6385 Crain Highway",,"LaPlata","MD",20646,"United States of America",,,,,"6385 Crain Highway",,"LaPlata","MD",20646,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"MasterCard","5.58439892997308E+015","01","2015","121","Value","Massachusetts","Tester","329 Washington St",,"Boston","MA",32108,"United States of America",,,,,"329 Washington St",,"Boston","MA",32108,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"American Express","343434343434343","12","2015","4512","Value","Michigan","Tester","1000 Mack Ave",,"Detroit","MI",48207,"United States of America",,,,,"1000 Mack Ave",,"Detroit","MI",48207,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Discover","6011963280099774","10","2014","221","Value","Minnesota","Tester","1100 University Ave",,"Minneapolis","MN",55413,"United States of America",,,,,"1100 University Ave",,"Minneapolis","MN",55413,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Visa","4.92939104626798E+015","06","2019","642","Value","Mississippi","Tester","2520 Gallatin St",,"Jackson","MS",39204,"United States of America",,,,,"2520 Gallatin St",,"Jackson","MS",39204,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"MasterCard","5.58439892997308E+015","01","2015","121","Value","Missouri","Tester","1919 S Jefferson",,"St. Louis","MO",63104,"United States of America",,,,,"1919 S Jefferson",,"St. Louis","MO",63104,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"American Express","343434343434343","12","2015","4512","Value","Montana","Tester","150 Van Buren St",,"Anaconda","MT",59711,"United States of America",,,,,"150 Van Buren St",,"Anaconda","MT",59711,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Discover","6011963280099774","10","2014","221","Value","Nebraska","Tester","1601 Q Street",,"Aurora","NE",68818,"United States of America",,,,,"1601 Q Street",,"Aurora","NE",68818,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Visa","4.92939104626798E+015","06","2019","642","Value","Nevada","Tester","301 Fremont",,"Las Vegas","NV",89101,"United States of America",,,,,"301 Fremont",,"Las Vegas","NV",89101,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"MasterCard","5.58439892997308E+015","01","2015","121","Value","Newhampshire","Tester","117 Loudon Rd",,"Concord","NH",23301,"United States of America",,,,,"117 Loudon Rd",,"Concord","NH",23301,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"American Express","343434343434343","12","2015","4512","Value","Newjersey","Tester","741 Hamburg Tpke","Apt 1-A","Wayne","NJ",94101,"United States of America",,,,,"741 Hamburg Tpke","Apt 1-A","Wayne","NJ",94101,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Discover","6011963280099774","10","2014","221","Value","Newmexico","Tester","300 Lomas Blvd NE",,"Albuquerque","NM",87102,"United States of America",,,,,"300 Lomas Blvd NE",,"Albuquerque","NM",87102,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Visa","4.92939104626798E+015","06","2019","642","Value","New York","Tester","200 Hamilton Ave",,"White Plains","NY",10601,"United States of America",,,,,"200 Hamilton Ave",,"White Plains","NY",10601,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"MasterCard","5.58439892997308E+015","01","2015","121","Value","North Carolina","Tester","703 W Peace St",,"Raleigh","NC",27605,"United States of America",,,,,"703 W Peace St",,"Raleigh","NC",27605,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"American Express","343434343434343","12","2015","4512","Value","North Dakota","Tester","905 Main Ave",,"Fargo","ND",58103,"United States of America",,,,,"905 Main Ave",,"Fargo","ND",58103,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Discover","6011963280099774","10","2014","221","Value","Ohio","Tester","578 E Market St",,"Akron","OH",44304,"United States of America",,,,,"578 E Market St",,"Akron","OH",44304,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Visa","4.92939104626798E+015","06","2019","642","Value","Oklahoma","Tester","920 W 6th St",,"Stillwater","OK",74074,"United States of America",,,,,"920 W 6th St",,"Stillwater","OK",74074,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"MasterCard","5.58439892997308E+015","01","2015","121","Value","Oregon","Tester","28 NE Oak St",77662,"Madras","OR",97741,"United States of America",,,,,"28 NE Oak St",77662,"Madras","OR",97741,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"American Express","343434343434343","12","2015","4512","Value","Pennsylvania","Tester","116 Brooklyn St",,"Carbondale","PA",18472,"United States of America",,,,,"116 Brooklyn St",,"Carbondale","PA",18472,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Discover","6011963280099774","10","2014","221","Value","Rhode Island","Tester","876 Bald Hill Rd",,"Warwick","RI",22886,"United States of America",,,,,"876 Bald Hill Rd",,"Warwick","RI",22886,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Visa","4.92939104626798E+015","06","2019","642","Value","South Carolina","Tester","18128 Heritage Hwy",,"Denmark","SC",29042,"United States of America",,,,,"18128 Heritage Hwy",,"Denmark","SC",29042,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"MasterCard","5.58439892997308E+015","01","2015","121","Value","South Dakota","Tester","3200 S Minnesota Ave",,"Sioux Falls","SD",57105,"United States of America",,,,,"3200 S Minnesota Ave",,"Sioux Falls","SD",57105,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"American Express","343434343434343","12","2015","4512","Value","Tennessee","Tester","1201 Broadway",,"Nashville","TN",37203,"United States of America",,,,,"1201 Broadway",,"Nashville","TN",37203,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Discover","6011963280099774","10","2014","221","Value","Texas","Tester","5615 High Point Dr",,"Irving","TX",75038,"United States of America",,,,,"5615 High Point Dr",,"Irving","TX",75038,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Visa","4.92939104626798E+015","06","2019","642","Value","Utah","Tester","575 E University Pkwy",,"Orem","UT",84097,"United States of America",,,,,"575 E University Pkwy",,"Orem","UT",84097,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"MasterCard","5.58439892997308E+015","01","2015","121","Value","Vermont","Tester","282 Berlin Mall Rd",,"Berlin","VT",25602,"United States of America",,,,,"282 Berlin Mall Rd",,"Berlin","VT",25602,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"American Express","343434343434343","12","2015","4512","Value","Virginia","Tester","937 W Broad St",,"Richmond","VA",23220,"United States of America",,,,,"937 W Broad St",,"Richmond","VA",23220,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Discover","6011963280099774","10","2014","221","Value","Washington","Tester","500 B Valley Mall Pkwy",,"East Wenatchee","WA",98802,"United States of America",,,,,"500 B Valley Mall Pkwy",,"East Wenatchee","WA",98802,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Visa","4.92939104626798E+015","06","2019","642","Value","West Virginia","Tester","486 Emily Dr",,"Clarksburg","WV",26301,"United States of America",,,,,"486 Emily Dr",,"Clarksburg","WV",26301,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"MasterCard","5.58439892997308E+015","01","2015","121","Value","Wisconsin","Tester","640 State Street",,"Madison","WI",53703,"United States of America",,,,,"640 State Street",,"Madison","WI",53703,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"American Express","343434343434343","12","2015","4512","Value","Wyoming","Tester","4007 CY Avenue",,"Casper","WY",82604,"United States of America",,,,,"4007 CY Avenue",,"Casper","WY",82604,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Discover","6011963280099774","10","2014","221","Value","Guam","Tester","202 Hilton Road",,"Tumon","GU",96913,"United States of America",,,,,"202 Hilton Road",,"Tumon","GU",96913,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"American Express","343434343434343","12","2015","4512","Value","Puerto Rico","Tester","Ave Isla Verdes",,"San Juan","PR","“00913”","United States of America",,,,,"Ave Isla Verdes",,"San Juan","PR","“00913”","United States of America",,,,,,,,,,,,,,,,
,"Should checkout with same shipping billing address for ",,"Discover","6011963280099774","10","2014","221","Value","Texas","Tester","P.O. Box 123456","Return To Sender","Irving ","TX",76038,"United States of America",,,,,"P.O. Box 123456","Return To Sender","Irving ","TX",76038,"United States of America",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Should checkout with different shipping and billing address for",,"Visa","4.92939104626798E+015","06","2019","642","Value","Texas","Tester","P.O. Box 123456","Return To Sender","Irving ","TX",76038,"United States of America",,,,,"2600 Memorial Pkwy NW","Suite 300","Huntsville","AL",35810,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with different shipping and billing address for",,"MasterCard","5.58439892997308E+015","01","2015","121","Value","Puerto Rico","Tester","Ave Isla Verdes",,"San Juan","PR","“00913”","United States of America",,,,,"320 West 5th Avenue",,"Anchorage","AK",99501,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with different shipping and billing address for",,"American Express","343434343434343","12","2015","4512","Value","Guam","Tester","98 Weston St",,"Hartford","CT",16120,"United States of America",,,,,"545 E McDowell",,"Phoenix","AZ",85007,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with different shipping and billing address for",,"Discover","6011963280099774","10","2014","221","Value","Wyoming","Tester","937 W Broad St",,"Richmond","VA",23220,"United States of America",,,,,"1401 Phyllis St",,"Bentonville","AR",72712,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with different shipping and billing address for",,"Visa","4.92939104626798E+015","06","2019","642","Value","Wisconsin","Tester","920 W 6th St",,"Stillwater","OK",74074,"United States of America",,,,,"777 Story Rd","Apt 2","San Jose","CA",95122,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with different shipping and billing address for",,"MasterCard","5.58439892997308E+015","01","2015","121","Value","Westvirginia","Tester","905 Main Ave",,"Fargo","ND",58103,"United States of America",,,,,"505 East Colfax Avenue",,"Denver","CO",80203,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with different shipping and billing address for",,"American Express","343434343434343","12","2015","4512","Value","Washington","Tester","888 Kapahulu Ave",,"Honolulu","HI",96816,"United States of America",,,,,"98 Weston St",,"Hartford","CT",16120,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with different shipping and billing address for",,"Discover","6011963280099774","10","2014","221","Value","Virginia","Tester","876 Bald Hill Rd",,"Warwick","RI",22886,"United States of America",,,,,"263 Walmart Dr",,"Camden","DE",19934,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with different shipping and billing address for",,"Visa","4.92939104626798E+015","06","2019","642","Value","Vermont","Tester","777 Story Rd","Apt 2","San Jose","CA",95122,"United States of America",,,,,"6 Independence Ave SW",,"Washington","DC",20004,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with different shipping and billing address for",,"MasterCard","5.58439892997308E+015","01","2015","121","Value","Utah","Tester","741 Hamburg Tpke","Apt 1-A","Wayne","NJ",94101,"United States of America",,,,,"5440 Washington St",,"Tampa","FL",33606,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with different shipping and billing address for",,"American Express","343434343434343","12","2015","4512","Value","Texas","Tester","703 W Peace St",,"Raleigh","NC",27605,"United States of America",,,,,"30 Marietta St","5th Floor","Atlanta","GA",30303,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with different shipping and billing address for",,"Discover","6011963280099774","10","2014","221","Value","Tennessee","Tester","640 State Street",,"Madison","WI",53703,"United States of America",,,,,"888 Kapahulu Ave",,"Honolulu","HI",96816,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with different shipping and billing address for",,"Visa","4.92939104626798E+015","06","2019","642","Value","S.Dakota","Tester","6385 Crain Highway",,"LaPlata","MD",20646,"United States of America",,,,,"1185 Vista Ave",,"Boise","ID",83705,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with different shipping and billing address for",,"MasterCard","5.58439892997308E+015","01","2015","121","Value","S.Carolina","Tester","6 Independence Ave SW",,"Washington","DC",20004,"United States of America",,,,,"1183 Ogden Ave",,"Naperville","IL",60563,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with different shipping and billing address for",,"American Express","343434343434343","12","2015","4512","Value","Rhodes","Tester","578 E Market St",,"Akron","OH",44304,"United States of America",,,,,"1602 North State Street",,"Greenfield","IN",46140,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with different shipping and billing address for",,"Discover","6011963280099774","10","2014","221","Value","Penny","Tester","575 E University Pkwy",,"Orem","UT",84097,"United States of America",,,,,"411 Central Avenue",,"Hampton","IA",50441,"United States of America",,,,,,,,,,,,,,,,
,"Should checkout with different shipping and billing address for",,"Visa","4.92939104626798E+015","06","2019","642","Value","Oregon","Tester","5615 High Point Dr",,"Irving","TX",75038,"United States of America",,,,,"1011 Westloop Place",,"Manhattan","KS",66502,"United States of America",,,,,,,,,,,,,,,,
