ID,TestCaseName,CCType,CCNumber,ExpMonth,ExpYear,CVV,SVSNumber,SVSPin,DiscountCode,FulfillmentChannel,FirstName,LastName,ShippingLine1,ShippingLine2,ShippingCity,ShippingState,ShippingZip,ShippingCountry,ShippingPhone,ShippingEmail,BillingLine1,BillingLine2,BillingCity,BillingState,BillingZip,BillingCountry,BillingPhone,BillingEmail,Username,Password,PUR,MainURL,ProductURL,SKUS
TFS47276,Checkout-MobileUI-PreOrder Product Purchase using Valid CC Store Pickup as Guest,Visa,4111111111111111,12,2020,343,,,,InStorePickUp,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,200449
TFS47278,Checkout-MobileUI-Physical Product Purchase using Valid GC(full payment) as Guest,,,,,,6364911003999900216,0435,,ShipToAddress,Review ,QA,626 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47279,Checkout-MobileUI-Physical Product Purchase using Valid GC(Partial payment) and valid CC as Guest,Visa,4111111111111111,12,2020,343,6364911003999900216,0435,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47280,Checkout-MobileUI-Physical Product Purchase using Invalid CC as Guest,Visa,5111110000000000,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47281,Checkout-MobileUI-Physical Product Purchase using Invalid GC as Guest,,,,,,7364911003999900000,0435,,ShipToAddress,Review ,QA,626 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47419,Checkout-MobileUI-Physical Product And Digital Purchase using Valid CC as Auth User,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Accept ,QA,625 westport pkwy,,Grapevine,Texas,76051,United States of America,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,United States of America,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,"800617,600060"
TFS47420,Checkout-MobileUI-Preorder and Non Preorder Purchase Using Valid CC as Auth User,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,"800617,201198"
TFS47421,Checkout-MobileUI-Preorder Product and DLC Purchase With Valid CC as Auth User,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,"600060,201198"
TFS47422,Checkout-MobileUI-Physical Product Purchase as Employee Order using Valid CC as Auth User,Visa,4111111111111111,12,2020,343,,,EMYYYW62GD,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47423,Checkout-MobileUI-Physical Product Purchase for BillShip Mismatch Using Valid CC as Auth User,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,5615 High Point Dr,,Irving,Texas,75038,United States of America,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,United States of America,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47424,Checkout-MobileUI-Multiple Physical Products Purchase (value GT $200) for High Dollar using Valid CC as Auth User,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,"800617,201198,200449,270778"
TFS47425,Checkout-MobileUI-PreOrder Product Purchase using Valid CC Store Pickup as Auth User,Visa,4111111111111111,12,2020,343,,,,InStorePickUp,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,200449
TFS47416,Checkout-MobileUI-Physical Product Purchase using Valid CC as Auth User ,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47426,Checkout-MobileUI-Physical Product Purchase using Valid GC(full payment) as Auth User,,,,,,6364911003999900216,0435,,ShipToAddress,Review ,QA,626 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47427,Checkout-MobileUI-Physical Product Purchase using Invalid CC as Auth User,Visa,5111110000000000,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47428,Checkout-MobileUI-Physical Product Purchase using Invalid GC as Auth User,,,,,,7364911003999900000,0435,,ShipToAddress,Review ,QA,626 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47502,Checkout-MobileUI-Gift Msg Field Should Take under 50 Char and User be able Click on Msg Checkbox as Guest,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47503,Checkout-MobileUI-Gift Msg Field Should Take 50 Char and User be able Click on Msg Checkbox as Guest,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47504,Checkout-MobileUI-Gift Msg Field Should not Take over 50 Char as Guest,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47498,Checkout-MobileUI-Gift Msg Field Should Take under 50 Char and User be able Click on Msg Checkbox as Auth User,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47500,Checkout-MobileUI-Gift Msg Field Should Take 50 Char and User be able Click on Msg Checkbox as Auth User,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47501,Checkout-MobileUI-Gift Msg Field should Not Take over 50 Char as Auth User,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47700,Checkout-MobileUI-Modify Billing Address under Payment Page as Guest,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47697,Checkout-MobileUI-Modify Billing Address under Payment Page as Auth User,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,United States of America,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47451,Checkout-MobileUI-Remove one item from the cart holding multiple products as Guest,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,"800617,600060,201198"
TFS47457,Checkout-MobileUI-Remove Product from the Cart holding Single Product as Guest,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47458,Checkout-MobileUI-Remove all items from the cart holding multiple products as Guest,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,"800617,600060,201198"
TFS47459,Checkout-MobileUI-Edit Quantity for a Product from the Cart holding Single Product as Guest,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47460,Checkout-MobileUI-Edit Quantity for a Single Product from the Cart holding Multiple Product as Guest,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,"800617,201198"
TFS47461,Checkout-MobileUI-Edit Quantity for a Multi Product from the Cart holding Multi Product as Guest,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,"800617,201198"
TFS47462,Checkout-MobileUI-Remove one item from the cart holding multiple products as Auth User,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,"800617,600060,201198"
TFS47463,Checkout-MobileUI-Remove Product from the Cart holding Single Product as Auth User,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47464,Checkout-MobileUI-Remove all items from the cart holding multiple products as Auth User,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,"800617,600060,201198"
TFS47465,Checkout-MobileUI-Edit Quantity for a Product from the Cart holding Single Product as Auth User ,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47466,Checkout-MobileUI-Edit Quantity for a Single Product from the Cart holding Multiple Product as Auth User,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,"800617,201198"
TFS47467,Checkout-MobileUI-Edit Quantity for a Multi Product from the Cart holding Multi Product as Auth User,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,"800617,201198"
TFS47505,Checkout-MobileUI-Physical Product HOPS Purchase using Valid PowerUp as Guest,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Accept ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,3876223442336,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47506,Checkout-MobileUI-Physical Product HOPS Purchase using Invalid PowerUp as Guest,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Accept ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,3876223442111,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47510,Checkout-MobileUI-Physical Product HOPS Purchase using Valid CC as Guest,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Accept ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,3876223442111,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47511,Checkout-MobileUI-Physical Product HOPS Purchase using Invalid CC as Guest,Visa,5111110000000000,12,2020,343,,,,ShipToAddress,Accept ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,3876223442111,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47515,Checkout-MobileUI-Physical Product Purchase using Valid CC as New User,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47418,Checkout-MobileUI-PreOrder Product Purchase using Valid CC Shipped as Auth User,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,201198
TFS47516,Checkout-MobileUI-Physical Product Purchase using Valid CC Uncheck Same Address,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47512,Checkout-MobileUI-Verify Order Summary link on Billing Address Page,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47513,Checkout-MobileUI-Verify Order Summary link on Handling Page,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47514,Checkout-MobileUI-Verify Order Summary link on Shipping Address Page Page,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47417,Checkout-MobileUI-Digital Product Purchase using Valid CC as Auth User,Visa,4111111111111111,12,2020,343,,,,Digital,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,550001
TFS47517,Checkout-MobileUI-Invalid PowerUp Number should be Rejected,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,3876223442111,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47518,Checkout-MobileUI-Valid PowerUp Number should be Reviewed,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,3876223442336,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
