"ID","Project","FunctionalArea","Role","Focus","ScriptName","TestDescription","login","password","is_in_stock","is_online_only","page_index","page_size","filter_type","filter_values","sort_order","search_term_override","sku_search","SqlQuery","Databases","DB_ENV","Endpoints","SVC_ENV","Property","PROP_URL"
"NOT SUPPORTED YET","Profile","Search","AU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb","Perform product keyword search from profile as auth user","gsui_20140910_110520_105@qagsecomprod.oib.com","T3sting1","TRUE","FALSE",0,25,"Rating",0,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","Profile","Search","AU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb","Perform targeted keyword search from profile as auth user","gsui_20140910_112354_948@qagsecomprod.oib.com","T3sting1","TRUE","FALSE",0,25,"Rating",0,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
,"GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb","Returns recommendations if no products are found from search criteria",,,"TRUE","FALSE",0,25,"Rating",0,"Descending","I do not want any results to be returned","NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
,"GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb","Returns product details page if only 1 product is returned from search criteria",,,"TRUE","FALSE",0,25,"Rating",0,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
,"GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb","Returns product list if more than 1 product is returned from search criteria",,,"TRUE","FALSE",0,25,"Rating",0,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET",GameStop,Search,GU,Regression,%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb,,,,TRUE,FALSE,0,25,Availability,6,Descending,dfadsfsdkfljas;d,"NOT IMPLEMENTED YET",,databases.csv,QA_Catalog,endpoints.csv,QA_V1,properties.csv,QA_GS
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Availability",10,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Availability",383,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Availability",5,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Availability",8,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Category",419,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Category",88,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Category",86,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Category",394,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Category",102,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Condition",79,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Condition",80,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Condition",81,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"ESRB",51,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"ESRB",56,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"ESRB",52,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"ESRB",74,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"ESRB",54,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Platform",152,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Platform",146,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Platform",418,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Platform",134,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Platform",138,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Platform",432,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Platform",140,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Platform",139,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Platform",141,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Platform",431,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Platform",136,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Platform",133,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Price",211,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Price",59,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Price",60,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Price",61,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Price",62,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Price",63,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Price",64,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Rating",408,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Rating",409,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Rating",410,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Rating",411,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Products",4294944213,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Products",4294946572,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,"TRUE","FALSE",0,25,"Products",4294946614,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,TRUE,TRUE,0,25,"Rating",0,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,TRUE,TRUE,0,25,"Rating",0,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,FALSE,TRUE,0,25,"Rating",0,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,FALSE,TRUE,0,25,"Rating",0,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb",,,,FALSE,FALSE,0,25,"Rating",0,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
